Interval Start,First Frame Delay,Buffer Empty Duration,Stall Duration
06/Jan/2025:14:05:00,162.23,218.07,1357.87
06/Jan/2025:14:10:00,169.29,214.94,1396.75
06/Jan/2025:14:15:00,161.17,197.33,1379.54
06/Jan/2025:14:20:00,163.84,191.8,1441.34
06/Jan/2025:14:25:00,165.47,195.67,1485.5
06/Jan/2025:14:30:00,158.09,186.06,1467.14
06/Jan/2025:14:35:00,158.09,214.43,1485.54
06/Jan/2025:14:40:00,160.36,181.02,1375.07
06/Jan/2025:14:45:00,159.45,165.63,1410.72
06/Jan/2025:14:50:00,159.57,178.18,1452.27
06/Jan/2025:14:55:00,155.21,174.74,1388.57
06/Jan/2025:15:00:00,157.67,169.03,1351.94
06/Jan/2025:15:05:00,157.42,147.8,1270.4
06/Jan/2025:15:10:00,147.69,177.33,1290.62
06/Jan/2025:15:15:00,147.62,135.46,1224.54
06/Jan/2025:15:20:00,148.61,170.06,1244.43
06/Jan/2025:15:25:00,145.14,171.64,1269.68
06/Jan/2025:15:30:00,146.07,146.74,1263.71
06/Jan/2025:15:35:00,140.3,134.11,1194.75
06/Jan/2025:15:40:00,140.83,154.93,1076.91
06/Jan/2025:15:45:00,144.61,150.53,1063.54
06/Jan/2025:15:50:00,139.73,170.57,1146.29
06/Jan/2025:15:55:00,138.5,168.17,1200.97
06/Jan/2025:16:00:00,138.1,166.53,1079.53
06/Jan/2025:16:05:00,134.77,160.37,1088
06/Jan/2025:16:10:00,132.45,151.35,1096.52
06/Jan/2025:16:15:00,138.68,238.86,1338.05
06/Jan/2025:16:20:00,137.3,158.74,1055.87
06/Jan/2025:16:25:00,137.25,149.76,1011.99
06/Jan/2025:16:30:00,137.88,178.16,1131.96
06/Jan/2025:16:35:00,129.77,158.47,1045.35
06/Jan/2025:16:40:00,133,166,1044.4
06/Jan/2025:16:45:00,131.97,114.58,968.17
06/Jan/2025:16:50:00,129.67,150.59,1020.8
06/Jan/2025:16:55:00,131.82,198.64,1111.65
06/Jan/2025:17:00:00,139.5,205.66,1163.03
06/Jan/2025:17:05:00,130.86,211.86,1183.88
06/Jan/2025:17:10:00,128.28,136.08,1061.81
06/Jan/2025:17:15:00,136.39,164.09,1174.32
06/Jan/2025:17:20:00,135.37,122.42,1128.83
06/Jan/2025:17:25:00,137.99,143.12,1054.79
06/Jan/2025:17:30:00,131.61,148.6,1177.59
06/Jan/2025:17:35:00,141.18,166.16,1070.72
06/Jan/2025:17:40:00,142.24,187.91,1308.87
06/Jan/2025:17:45:00,143.16,168.81,1157.8
06/Jan/2025:17:50:00,138.36,182.64,1224.34
06/Jan/2025:17:55:00,142.85,187.85,1170.68
06/Jan/2025:18:00:00,141.9,172.86,1368.44
06/Jan/2025:18:05:00,136.52,179.97,1185.33
06/Jan/2025:18:10:00,135.28,309.76,1448.56
06/Jan/2025:18:15:00,128.36,147.94,1114.57
06/Jan/2025:18:20:00,136.99,191.8,1249.42
06/Jan/2025:18:25:00,143.35,271.13,1577.94
06/Jan/2025:18:30:00,138.84,230.07,1583.9
06/Jan/2025:18:35:00,136.28,184.09,1199.98
06/Jan/2025:18:40:00,136.38,194.4,1433.78
06/Jan/2025:18:45:00,145.56,233.84,1300.6
06/Jan/2025:18:50:00,148.81,225.07,1653.51
06/Jan/2025:18:55:00,146.19,162.78,1233.92
06/Jan/2025:19:00:00,139.47,131.84,1170.94
06/Jan/2025:19:05:00,139.55,223.65,1176.52
06/Jan/2025:19:10:00,139.81,134.03,1207.65
06/Jan/2025:19:15:00,133.44,178.46,1019.07
06/Jan/2025:19:20:00,133.81,189.16,1171.03
06/Jan/2025:19:25:00,140.83,178.16,1332.1
06/Jan/2025:19:30:00,159.17,166.99,1158.21
06/Jan/2025:19:35:00,146.95,204.4,1430.4
06/Jan/2025:19:40:00,141.38,240.79,1227.21
06/Jan/2025:19:45:00,147.05,403.26,1770.17
06/Jan/2025:19:50:00,149.75,368.96,1526.93
06/Jan/2025:19:55:00,141.89,385.47,1448.21
06/Jan/2025:20:00:00,156.02,260.77,1455.85
06/Jan/2025:20:05:00,147.89,171.8,1692.06
06/Jan/2025:20:10:00,149.41,252.29,1500.76
06/Jan/2025:20:15:00,162.05,252.59,1651.09
06/Jan/2025:20:20:00,143.62,346.54,1892.66
06/Jan/2025:20:25:00,145.03,186.55,1685.78
06/Jan/2025:20:30:00,145.93,273.35,1594.59
06/Jan/2025:20:35:00,135.79,200.74,1655.27
06/Jan/2025:20:40:00,150.89,303.46,1603.96
06/Jan/2025:20:45:00,141.14,118.37,1183.87
06/Jan/2025:20:50:00,153.8,113.51,1348.28
06/Jan/2025:20:55:00,156.44,347.04,1493.34
06/Jan/2025:21:00:00,166.89,205.42,1239.28
06/Jan/2025:21:05:00,172.7,1911.05,3107.92
06/Jan/2025:21:10:00,154.36,173.5,915.84
06/Jan/2025:21:15:00,163.65,192.97,1244.26
06/Jan/2025:21:20:00,160.37,196.94,1385.4
06/Jan/2025:21:25:00,151.96,116.07,1341.18
06/Jan/2025:21:30:00,152.35,241.71,1431.34
06/Jan/2025:21:35:00,148.07,245.65,1309.63
06/Jan/2025:21:40:00,194.38,259.32,1607.3
06/Jan/2025:21:45:00,163.25,220.71,1182.26
06/Jan/2025:21:50:00,167.84,200.03,1212.85
06/Jan/2025:21:55:00,157.82,234.31,1290.51
06/Jan/2025:22:00:00,168.94,309.34,1479.65
06/Jan/2025:22:05:00,157.81,340.02,1458.07
06/Jan/2025:22:10:00,156.7,245.14,1340.05
06/Jan/2025:22:15:00,148.62,235.69,1219.53
06/Jan/2025:22:20:00,162.76,152.73,1180.6
06/Jan/2025:22:25:00,164.85,181.28,1057.81
06/Jan/2025:22:30:00,159.02,180.61,990.77
06/Jan/2025:22:35:00,156.28,155.36,949.81
06/Jan/2025:22:40:00,160.35,198.3,1172.36
06/Jan/2025:22:45:00,167.2,166.14,1110.72
06/Jan/2025:22:50:00,169.6,241.79,1240.81
06/Jan/2025:22:55:00,165.83,154.31,1028.94
06/Jan/2025:23:00:00,165.78,179.03,1349.2
06/Jan/2025:23:05:00,180.62,190.53,1239.72
06/Jan/2025:23:10:00,162.26,166.79,1143.42
06/Jan/2025:23:15:00,164.37,236.22,1235.1
06/Jan/2025:23:20:00,156.47,137.86,1111.47
06/Jan/2025:23:25:00,161.94,156.28,1059.65
06/Jan/2025:23:30:00,182.89,254.02,1297.84
06/Jan/2025:23:35:00,177.93,157.21,1167.97
06/Jan/2025:23:40:00,154.11,152.18,914.98
06/Jan/2025:23:45:00,150.76,167.94,938.89
06/Jan/2025:23:50:00,156.67,204.16,1017.34
06/Jan/2025:23:55:00,153.86,225.39,1036.61
07/Jan/2025:00:00:00,160.13,205.43,1123.19
07/Jan/2025:00:05:00,154.57,241.41,1065.47
07/Jan/2025:00:10:00,151.76,260.24,1111.67
07/Jan/2025:00:15:00,164.49,225.98,1093.69
07/Jan/2025:00:20:00,160.4,209.28,1065.22
07/Jan/2025:00:25:00,157.78,302.61,1182.81
07/Jan/2025:00:30:00,149.99,238.81,1120.76
07/Jan/2025:00:35:00,150.86,163.83,1049.53
07/Jan/2025:00:40:00,156.41,257.21,1048.62
07/Jan/2025:00:45:00,160.45,218.22,1055.91
07/Jan/2025:00:50:00,157.59,222.73,1046.85
07/Jan/2025:00:55:00,153.14,207.93,1072.11
07/Jan/2025:01:00:00,162.42,232.45,1005.62
07/Jan/2025:01:05:00,148.77,243.07,953.64
07/Jan/2025:01:10:00,151.73,278.79,1350.89
07/Jan/2025:01:15:00,154.3,264.91,1119.73
07/Jan/2025:01:20:00,158.58,272.04,1128.53
07/Jan/2025:01:25:00,154.98,340.55,1356.27
07/Jan/2025:01:30:00,167.04,358.42,1213.68
07/Jan/2025:01:35:00,161.01,252.83,1162.12
07/Jan/2025:01:40:00,156.12,304.77,1275.69
07/Jan/2025:01:45:00,153.46,271.51,1257.11
07/Jan/2025:01:50:00,155.93,282.01,1246.13
07/Jan/2025:01:55:00,167.37,272.18,1287.85
07/Jan/2025:02:00:00,162.62,238.19,1174.55
07/Jan/2025:02:05:00,158.15,305.59,1204.47
07/Jan/2025:02:10:00,163.08,269.18,1179
07/Jan/2025:02:15:00,160.85,243.99,1159.46
07/Jan/2025:02:20:00,161.17,302.78,1306.63
07/Jan/2025:02:25:00,163.32,312.57,1165.93
07/Jan/2025:02:30:00,163.44,261.35,1179.71
07/Jan/2025:02:35:00,160.26,230.35,1194.05
07/Jan/2025:02:40:00,174.56,247.28,1225.07
07/Jan/2025:02:45:00,164.81,254.91,1293.78
07/Jan/2025:02:50:00,159.3,314.52,1471.64
07/Jan/2025:02:55:00,168.26,249.75,1326.55
07/Jan/2025:03:00:00,167.55,244.95,1299.63
07/Jan/2025:03:05:00,169.01,270.78,1387.98
07/Jan/2025:03:10:00,166.09,250.78,1192.93
07/Jan/2025:03:15:00,161.66,267.31,1233.28
07/Jan/2025:03:20:00,167.16,254.01,1261.87
07/Jan/2025:03:25:00,164.37,215.06,1248.87
07/Jan/2025:03:30:00,164.74,233.1,1227.09
07/Jan/2025:03:35:00,167.82,243.32,1333.43
07/Jan/2025:03:40:00,164.57,212.81,1186.62
07/Jan/2025:03:45:00,168.83,291.83,1292.97
07/Jan/2025:03:50:00,162.63,246.54,1195.64
07/Jan/2025:03:55:00,167.75,220.82,1278
07/Jan/2025:04:00:00,171.82,284.37,1388.68
07/Jan/2025:04:05:00,165.83,416.29,1412.25
07/Jan/2025:04:10:00,177.37,324.95,1429.81
07/Jan/2025:04:15:00,166.1,258.37,1254.97
07/Jan/2025:04:20:00,163.8,218.6,1199.24
07/Jan/2025:04:25:00,169.91,271.74,1336.91
07/Jan/2025:04:30:00,162.19,236.45,1316.17
07/Jan/2025:04:35:00,164.1,192.57,1287.52
07/Jan/2025:04:40:00,164.97,220.5,1225.08
07/Jan/2025:04:45:00,163.95,178.48,1230.36
07/Jan/2025:04:50:00,172.16,244.93,1367.26
07/Jan/2025:04:55:00,168.27,205.85,1174.96
07/Jan/2025:05:00:00,173.49,215.78,1182.51
07/Jan/2025:05:05:00,170.68,216.69,1227.7
07/Jan/2025:05:10:00,180.33,266.58,1300.7
07/Jan/2025:05:15:00,168.28,249.55,1273.81
07/Jan/2025:05:20:00,189.3,295.59,1288.51
07/Jan/2025:05:25:00,163.87,307.49,1378.32
07/Jan/2025:05:30:00,173.55,310.47,1304.87
07/Jan/2025:05:35:00,180.48,322.4,1465.64
07/Jan/2025:05:40:00,172.7,270.91,1233.38
07/Jan/2025:05:45:00,176.14,212.29,1315.25
07/Jan/2025:05:50:00,171.88,256.68,1265.33
07/Jan/2025:05:55:00,169.98,274.53,1302.1
07/Jan/2025:06:00:00,167.18,315.45,1516.88
07/Jan/2025:06:05:00,182.9,256.12,1394.06
07/Jan/2025:06:10:00,195.31,275.96,1423.24
07/Jan/2025:06:15:00,170.46,244.5,1392.43
07/Jan/2025:06:20:00,168.52,227.23,1346.5
07/Jan/2025:06:25:00,163.98,288.44,1345.97
07/Jan/2025:06:30:00,176.14,231.9,1337.42
07/Jan/2025:06:35:00,183.54,234.82,1235.27
07/Jan/2025:06:40:00,171.83,162.44,1157.34
07/Jan/2025:06:45:00,174.17,274.39,1341.44
07/Jan/2025:06:50:00,175.6,263.89,1243.01
07/Jan/2025:06:55:00,171.68,261.54,1311.06
07/Jan/2025:07:00:00,170.98,245.34,1269.78
07/Jan/2025:07:05:00,176.06,223.99,1290.95
07/Jan/2025:07:10:00,184.6,222.58,1375.26
07/Jan/2025:07:15:00,174.94,241.79,1346.7
07/Jan/2025:07:20:00,165.46,186.86,1249.76
07/Jan/2025:07:25:00,164.54,196.77,1209.75
07/Jan/2025:07:30:00,169.09,234.7,1329.23
07/Jan/2025:07:35:00,162.31,241.43,1286.17
07/Jan/2025:07:40:00,174.32,251.25,1308.91
07/Jan/2025:07:45:00,167.08,272.85,1308.99
07/Jan/2025:07:50:00,176.77,257.65,1286.38
07/Jan/2025:07:55:00,166.29,287.45,1451.07
07/Jan/2025:08:00:00,166.8,245.08,1396.93
07/Jan/2025:08:05:00,170.75,252.72,1438.19
07/Jan/2025:08:10:00,181.13,288.58,1418.71
07/Jan/2025:08:15:00,175.14,245.74,1359.01
07/Jan/2025:08:20:00,166.07,272.26,1300.66
07/Jan/2025:08:25:00,168,307.65,1373.45
07/Jan/2025:08:30:00,166.12,252.69,1307.78
07/Jan/2025:08:35:00,182.89,218.29,1346.31
07/Jan/2025:08:40:00,167.65,246.68,1349.63
07/Jan/2025:08:45:00,168.67,281.07,1263.56
07/Jan/2025:08:50:00,164.09,248.59,1180.61
07/Jan/2025:08:55:00,162.77,260.11,1234.81
07/Jan/2025:09:00:00,162.61,253.65,1274.72
07/Jan/2025:09:05:00,156.63,238.05,1235.73
07/Jan/2025:09:10:00,165.1,264.47,1252.92
07/Jan/2025:09:15:00,158.58,245.65,1239.23
07/Jan/2025:09:20:00,161.92,269.37,1414.71
07/Jan/2025:09:25:00,159.98,250.88,1245.18
07/Jan/2025:09:30:00,168.18,226.18,1266.35
07/Jan/2025:09:35:00,162.7,242.38,1260.67
07/Jan/2025:09:40:00,167.49,266.43,1300.68
07/Jan/2025:09:45:00,159.45,243.44,1226.23
07/Jan/2025:09:50:00,163.89,274.47,1324.99
07/Jan/2025:09:55:00,158.21,223.95,1227.45
07/Jan/2025:10:00:00,165.53,231.47,1283.11
07/Jan/2025:10:05:00,164.86,231.85,1212.91
07/Jan/2025:10:10:00,164.99,244.49,1290.08
07/Jan/2025:10:15:00,152.51,211.57,1156.7
07/Jan/2025:10:20:00,158.92,224.83,1142.75
07/Jan/2025:10:25:00,167.66,296.1,1306.92
07/Jan/2025:10:30:00,170.3,216.3,1213.8
07/Jan/2025:10:35:00,171.22,236.69,1196
07/Jan/2025:10:40:00,166.75,281.43,1364.58
07/Jan/2025:10:45:00,161.16,256.48,1277.15
07/Jan/2025:10:50:00,165.34,221.39,1293.6
07/Jan/2025:10:55:00,171.35,257.25,1359.79
07/Jan/2025:11:00:00,166.67,307.11,1360.45
07/Jan/2025:11:05:00,170.2,272.54,1381.14
07/Jan/2025:11:10:00,170.79,281.95,1306.9
07/Jan/2025:13:45:00,168.04,240.93,1412.65
07/Jan/2025:13:50:00,168.7,216.93,1428.71
07/Jan/2025:13:55:00,170.36,186.69,1372.41
07/Jan/2025:14:00:00,167,216.57,1462.12
07/Jan/2025:14:05:00,168.37,183.43,1415.31
07/Jan/2025:14:10:00,162.35,221.28,1384.48
07/Jan/2025:14:15:00,163.57,212.59,1463.13
07/Jan/2025:14:20:00,164.3,188.36,1401.8
07/Jan/2025:14:25:00,163.7,184,1368.04
07/Jan/2025:14:30:00,164.61,174.67,1321.17
07/Jan/2025:14:35:00,165.01,169.17,1365
07/Jan/2025:14:40:00,160.91,194.4,1410.74
07/Jan/2025:14:45:00,164.02,164.67,1406.46
07/Jan/2025:14:50:00,160.49,189.23,1400.07
07/Jan/2025:14:55:00,167.89,183.45,1472.89
07/Jan/2025:15:00:00,163.83,183.04,1452.64
07/Jan/2025:15:05:00,159.66,160.52,1356.52
07/Jan/2025:15:10:00,149.8,158.65,1306.24
07/Jan/2025:15:15:00,151.62,166.15,1366.79
07/Jan/2025:15:20:00,149.01,231.22,1484.13
07/Jan/2025:15:25:00,150.43,177.84,1384.15
07/Jan/2025:15:30:00,148.26,133.85,1279.71
07/Jan/2025:15:35:00,148.82,134.96,1208.12
07/Jan/2025:15:40:00,148.46,160.2,1176.82
07/Jan/2025:15:45:00,146.12,184.76,1149.84
07/Jan/2025:15:50:00,157.51,227.29,1396.35
07/Jan/2025:15:55:00,147.48,194.36,1363.86
07/Jan/2025:16:00:00,149.21,177.97,1300.66
07/Jan/2025:16:05:00,153.89,187.68,1229.5
07/Jan/2025:16:10:00,147.7,180.74,1274.18
07/Jan/2025:16:15:00,139.29,201.95,1257.29
07/Jan/2025:16:20:00,140.52,178.8,1153.48
07/Jan/2025:16:25:00,138.72,153.77,1112.76
07/Jan/2025:16:30:00,141.9,148.54,1190.18
07/Jan/2025:16:35:00,134.46,177.05,1076.44
07/Jan/2025:16:40:00,137.3,194.72,1049.2
07/Jan/2025:16:45:00,133.76,184.1,1174.65
07/Jan/2025:16:50:00,135.81,163.04,1065.65
07/Jan/2025:16:55:00,135.66,216.8,1138.58
07/Jan/2025:17:00:00,143.82,252.17,1261.73
07/Jan/2025:17:05:00,144.96,182.01,1226.56
07/Jan/2025:17:10:00,146.91,160.44,1183.25
07/Jan/2025:17:15:00,141.5,172,1233.89
07/Jan/2025:17:20:00,132.63,200.57,1173.91
07/Jan/2025:17:25:00,144.55,244.76,1300.03
07/Jan/2025:17:30:00,143.52,321.32,1642.64
07/Jan/2025:17:35:00,145.07,282.43,1443.32
07/Jan/2025:17:40:00,141,220.52,1375.94
07/Jan/2025:17:45:00,140.51,225.55,1193.48
07/Jan/2025:17:50:00,141.36,220.06,1268.28
07/Jan/2025:17:55:00,136.16,233.07,1397.75
07/Jan/2025:18:00:00,132.39,293.22,1448.72
07/Jan/2025:18:05:00,139.17,275.32,1352.82
07/Jan/2025:18:10:00,136.6,197.89,1191.69
07/Jan/2025:18:15:00,144.24,210.62,1145.64
07/Jan/2025:18:20:00,148.39,221.46,1353.97
07/Jan/2025:18:25:00,148.1,196.66,1380.2
07/Jan/2025:18:30:00,145.19,203.99,1345.55
07/Jan/2025:18:35:00,135.1,224.79,1158.63
07/Jan/2025:18:40:00,144.8,360.8,1281.35
07/Jan/2025:18:45:00,134.09,417.34,1537.92
07/Jan/2025:18:50:00,135.55,238.18,1216.93
07/Jan/2025:18:55:00,138.64,209.91,1426.24
07/Jan/2025:19:00:00,154.69,315.03,1552.12
07/Jan/2025:19:05:00,161.25,305.29,1503.97
07/Jan/2025:19:10:00,154.82,334.86,1563.25
07/Jan/2025:19:15:00,157.44,324.28,1683.22
07/Jan/2025:19:20:00,144.02,298.45,1648.63
07/Jan/2025:19:25:00,156.84,342.29,1538.84
07/Jan/2025:19:30:00,150.66,203.1,1168.36
07/Jan/2025:19:35:00,145.09,301.85,1600.9
07/Jan/2025:19:40:00,156.37,285.56,1326.74
07/Jan/2025:19:45:00,145.4,332.31,1306.1
07/Jan/2025:19:50:00,143.5,122.75,1367.83
07/Jan/2025:19:55:00,141.56,307.63,1815.18
07/Jan/2025:20:00:00,156.65,341.71,1476.98
07/Jan/2025:20:05:00,145.93,344.36,1369.09
07/Jan/2025:20:10:00,150.41,321.53,1418.24
07/Jan/2025:20:15:00,158.39,155.22,1434.61
07/Jan/2025:20:20:00,148.21,229.68,1687.75
07/Jan/2025:20:25:00,155.96,193.01,1200.42
07/Jan/2025:20:30:00,160.72,252.71,1702.13
07/Jan/2025:20:35:00,186.73,261.8,1803.08
07/Jan/2025:20:40:00,170.84,309.91,1866.26
07/Jan/2025:20:45:00,187.29,249.59,1828.39
07/Jan/2025:20:50:00,157.18,308.28,1250.75
07/Jan/2025:20:55:00,149.65,440.95,1530.53
07/Jan/2025:21:00:00,166.51,369.94,1590.07
07/Jan/2025:21:05:00,150.07,321.49,1401.74
07/Jan/2025:21:10:00,157.82,277.75,1543.75
07/Jan/2025:21:15:00,142.54,183.03,1443.22
07/Jan/2025:21:20:00,156.08,212.15,990.22
07/Jan/2025:21:25:00,164.49,391.13,1553.64
07/Jan/2025:21:30:00,140,188.78,1251.89
07/Jan/2025:21:35:00,152.3,262.37,1333.77
07/Jan/2025:21:40:00,191.75,266.16,1622.11
07/Jan/2025:21:45:00,168.55,260.67,1538.23
07/Jan/2025:21:50:00,182.63,138.7,1352.68
07/Jan/2025:21:55:00,167.68,210.7,1368.57
07/Jan/2025:22:00:00,177.65,187.18,1456.71
07/Jan/2025:22:05:00,169.14,275.63,1384.51
07/Jan/2025:22:10:00,166,193.8,1443.54
07/Jan/2025:22:15:00,160.29,180.26,1137.46
07/Jan/2025:22:20:00,154.25,182.85,1111.73
07/Jan/2025:22:25:00,171.63,102.22,1159.97
07/Jan/2025:22:30:00,171.31,155.36,1482.18
07/Jan/2025:22:35:00,165.53,218.72,1057.02
07/Jan/2025:22:40:00,178.5,265.41,1353.09
07/Jan/2025:22:45:00,164.23,208.59,1112.42
07/Jan/2025:22:50:00,161.43,213.88,1309.49
07/Jan/2025:22:55:00,162.16,330.88,1302.12
07/Jan/2025:23:00:00,157.86,242.37,1502.19
07/Jan/2025:23:05:00,172.55,233.11,1333.51
07/Jan/2025:23:10:00,156.01,155.89,1178.25
07/Jan/2025:23:15:00,145.28,199.9,1107.21
07/Jan/2025:23:20:00,153.41,201.45,1039.61
07/Jan/2025:23:25:00,159.23,138.95,866.83
07/Jan/2025:23:30:00,162.82,165.35,1070.46
07/Jan/2025:23:35:00,156.85,233.81,1078.56
07/Jan/2025:23:40:00,158,148.35,956.77
07/Jan/2025:23:45:00,179.16,294.12,1278.93
07/Jan/2025:23:50:00,180.84,230.74,1227.78
07/Jan/2025:23:55:00,163.1,243,1148.75
08/Jan/2025:00:00:00,172.26,189.93,1027.89
08/Jan/2025:00:05:00,159.97,177.12,974.17
08/Jan/2025:00:10:00,152.95,200.37,1027.13
08/Jan/2025:00:15:00,160.45,257.12,1082.66
08/Jan/2025:00:20:00,166.85,225.37,1154.28
08/Jan/2025:00:25:00,164.97,240.57,1082.28
08/Jan/2025:00:30:00,151.58,276.89,1195.06
08/Jan/2025:00:35:00,163.8,321.97,1360.79
08/Jan/2025:00:40:00,158.62,276.67,1306.87
08/Jan/2025:00:45:00,157.14,270.57,1056.99
08/Jan/2025:00:50:00,150.2,279.95,1164.04
08/Jan/2025:00:55:00,166.32,278.44,1037.12
08/Jan/2025:01:00:00,162.75,307.74,985.8
08/Jan/2025:01:05:00,161.31,267.64,1168.19
08/Jan/2025:01:10:00,161.67,226.52,1196.96
08/Jan/2025:01:15:00,154.99,260.37,1177.01
08/Jan/2025:01:20:00,153.91,260.25,1227.72
08/Jan/2025:01:25:00,158.73,256.16,1074.96
08/Jan/2025:01:30:00,161.07,369.3,1195.85
08/Jan/2025:01:35:00,167.87,331.83,1352.99
08/Jan/2025:01:40:00,154.34,284.42,1269.86
08/Jan/2025:01:45:00,154.84,229.91,1106.57
08/Jan/2025:01:50:00,153.29,210.56,1081.21
08/Jan/2025:01:55:00,154.94,292.2,1274.08
08/Jan/2025:02:00:00,170.15,335.41,1342.98
08/Jan/2025:02:05:00,159.44,323.25,1306.33
08/Jan/2025:02:10:00,159.74,256.24,1292.91
08/Jan/2025:02:15:00,164.23,235.18,1216.22
08/Jan/2025:02:20:00,155.52,416.86,1398.53
08/Jan/2025:02:25:00,164.39,433.89,1391.7
08/Jan/2025:02:30:00,158.56,317.13,1527.54
08/Jan/2025:02:35:00,172.7,287.19,1471.7
08/Jan/2025:02:40:00,170.48,315.74,1355.61
08/Jan/2025:02:45:00,161.52,285.47,1462.61
08/Jan/2025:02:50:00,159.5,280.49,1292.06
08/Jan/2025:02:55:00,162.56,274.04,1338.1
08/Jan/2025:03:00:00,177.18,306.62,1452.21
08/Jan/2025:03:05:00,169.08,405.76,1597.04
08/Jan/2025:03:10:00,170.45,248.21,1350.53
08/Jan/2025:03:15:00,166.15,259.11,1269.26
08/Jan/2025:03:20:00,172.77,261.27,1327.57
08/Jan/2025:03:25:00,173.2,234.74,1267.35
08/Jan/2025:03:30:00,166.74,247.22,1344.9
08/Jan/2025:03:35:00,170.04,263.29,1321.97
08/Jan/2025:03:40:00,176.65,240.96,1250
08/Jan/2025:03:45:00,174.58,280.75,1393.01
08/Jan/2025:03:50:00,172.95,224.09,1287.16
08/Jan/2025:03:55:00,173.03,204.48,1298.59
08/Jan/2025:04:00:00,172.54,208.04,1182.38
08/Jan/2025:04:05:00,167.1,219.21,1166.01
08/Jan/2025:04:10:00,173.03,205.68,1200.28
08/Jan/2025:04:15:00,164.92,239.25,1307.76
08/Jan/2025:04:20:00,164.64,206.18,1229.41
08/Jan/2025:04:25:00,174.48,209.6,1240.96
08/Jan/2025:04:30:00,167.74,198.14,1225.24
08/Jan/2025:04:35:00,178.17,201.62,1258.6
08/Jan/2025:04:40:00,169.73,266.39,1362.11
08/Jan/2025:04:45:00,167.92,245.3,1375.53
08/Jan/2025:04:50:00,177.53,221.87,1364.9
08/Jan/2025:04:55:00,170.85,270.55,1324.44
08/Jan/2025:05:00:00,183.62,250.38,1285.74
